CITY,SECTOR_ID,SECTOR_NAME,ENODEBID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,VENDOR,LONGITUDE,LATITUDE,STYLE,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
sanxia,259780-2,D县瑞林耐火材料厂-HLHF-3,259780,D县瑞林耐火材料厂-HLHF,38400,56,2,18,14387,华为,112.05106,33.685076,宏站,240,33,6,3,9
sanxia,259781-0,B马怡馨家园-HLHF-1,259781,B马怡馨家园-HLHF,38400,69,0,23,14467,华为,112.9154,33.7326,宏站,0,28,6,3,9
sanxia,259781-1,B马怡馨家园-HLHF-2,259781,B马怡馨家园-HLHF,38400,70,1,23,14467,华为,112.9154,33.7326,宏站,120,28,6,3,9
sanxia,259781-2,B马怡馨家园-HLHF-3,259781,B马怡馨家园-HLHF,38400,71,2,23,14467,华为,112.9154,33.7326,宏站,240,28,6,3,9
sanxia,259782-0,B马千秋煤矿农场-HLHF-1,259782,B马千秋煤矿农场-HLHF,38400,83,2,27,14419,华为,112.88741,33.74894,宏站,50,30,6,8,14
sanxia,259782-1,B马千秋煤矿农场-HLHF-2,259782,B马千秋煤矿农场-HLHF,38400,82,1,27,14419,华为,112.88741,33.74894,宏站,175,48,6,7,13
sanxia,259782-2,B马千秋煤矿农场-HLHF-3,259782,B马千秋煤矿农场-HLHF,38400,81,0,27,14419,华为,112.88741,33.74894,宏站,270,48,6,9,15
sanxia,259783-0,陈宋坡-HLHF-1,259783,陈宋坡-HLHF,38400,219,0,73,14371,华为,112.19501,33.75141,宏站,320,43,6,5,11
sanxia,259783-1,陈宋坡-HLHF-2,259783,陈宋坡-HLHF,38400,220,1,73,14371,华为,112.19501,33.75141,宏站,105,43,6,7,13
sanxia,259783-2,陈宋坡-HLHF-3,259783,陈宋坡-HLHF,38400,221,2,73,14371,华为,112.19501,33.75141,宏站,190,43,6,9,15
sanxia,259784-0,大坝-HLHF-1,259784,大坝-HLHF,38400,421,1,140,14339,华为,112.34001,33.82841,宏站,0,18,6,3,9
sanxia,259784-1,大坝-HLHF-2,259784,大坝-HLHF,38400,422,2,140,14339,华为,112.34001,33.82841,宏站,120,18,6,3,9
sanxia,259784-2,大坝-HLHF-3,259784,大坝-HLHF,38400,420,0,140,14339,华为,112.34001,33.82841,宏站,240,18,6,3,9
sanxia,259785-0,E宝巴楼-HLHF-1,259785,E宝巴楼-HLHF,38400,32,2,10,14355,华为,111.75233,33.4968,宏站,0,43,6,3,9
sanxia,259785-1,E宝巴楼-HLHF-2,259785,E宝巴楼-HLHF,38400,30,0,10,14355,华为,111.75233,33.4968,宏站,120,43,6,3,9
sanxia,259785-2,E宝巴楼-HLHF-3,259785,E宝巴楼-HLHF,38400,31,1,10,14355,华为,111.75233,33.4968,宏站,240,43,6,3,9
sanxia,259786-0,E宝北宋-HLHF-1,259786,E宝北宋-HLHF,38400,263,2,87,18836,华为,112.015482,33.612825,宏站,0,43,6,3,9
sanxia,259786-1,E宝北宋-HLHF-2,259786,E宝北宋-HLHF,38400,261,0,87,18836,华为,112.015482,33.612825,宏站,120,43,6,3,9
sanxia,259786-2,E宝北宋-HLHF-3,259786,E宝北宋-HLHF,38400,262,1,87,18836,华为,112.015482,33.612825,宏站,240,43,6,3,9
sanxia,259787-0,E宝北田村-HLHF-1,259787,E宝北田村-HLHF,38400,306,0,102,14499,华为,111.888689,33.552786,宏站,10,33,6,8,14
sanxia,259787-1,E宝北田村-HLHF-2,259787,E宝北田村-HLHF,38400,308,2,102,14499,华为,111.888689,33.552786,宏站,180,33,6,8,14
sanxia,259787-2,E宝北田村-HLHF-3,259787,E宝北田村-HLHF,38400,307,1,102,14499,华为,111.888689,33.552786,宏站,270,33,6,8,14
sanxia,259788-0,E宝苍珠金矿口-HLHF-1,259788,E宝苍珠金矿口-HLHF,38400,298,1,99,18832,华为,111.47401,33.38061,宏站,30,30,6,3,9
sanxia,259788-1,E宝苍珠金矿口-HLHF-2,259788,E宝苍珠金矿口-HLHF,38400,299,2,99,18832,华为,111.47401,33.38061,宏站,120,30,6,3,9
sanxia,259789-0,E宝城东-HLHF-1,259789,E宝城东-HLHF,38400,100,1,33,14435,华为,111.49801,33.57771,宏站,70,33,6,3,9
sanxia,259789-1,E宝城东-HLHF-2,259789,E宝城东-HLHF,38400,99,0,33,14435,华为,111.49801,33.57771,宏站,130,33,6,4,10
sanxia,259789-2,E宝城东-HLHF-3,259789,E宝城东-HLHF,38400,101,2,33,14435,华为,111.49801,33.57771,宏站,300,33,6,3,9
sanxia,259790-0,E宝川口产业聚集区-HLHF-1,259790,E宝川口产业聚集区-HLHF,38400,352,1,117,18836,华为,111.95229,33.53632,宏站,0,23,6,3,9
sanxia,259790-1,E宝川口产业聚集区-HLHF-2,259790,E宝川口产业聚集区-HLHF,38400,351,0,117,18836,华为,111.95229,33.53632,宏站,120,23,6,3,9
sanxia,259790-2,E宝川口产业聚集区-HLHF-3,259790,E宝川口产业聚集区-HLHF,38400,353,2,117,18836,华为,111.95229,33.53632,宏站,240,23,6,3,9
sanxia,259791-0,E宝底东-HLHF-1,259791,E宝底东-HLHF,38400,188,2,62,14435,华为,111.45101,33.56251,宏站,0,43,6,3,9
sanxia,259791-1,E宝底东-HLHF-2,259791,E宝底东-HLHF,38400,187,1,62,14435,华为,111.45101,33.56251,宏站,120,43,6,3,9
sanxia,259791-2,E宝底东-HLHF-3,259791,E宝底东-HLHF,38400,186,0,62,14435,华为,111.45101,33.56251,宏站,240,43,6,3,9
sanxia,259792-0,E宝东常册-HLHF-1,259792,E宝东常册-HLHF,38400,374,2,124,14355,华为,111.80101,33.52521,宏站,30,43,6,10,16
sanxia,259792-1,E宝东常册-HLHF-2,259792,E宝东常册-HLHF,38400,373,1,124,14355,华为,111.80101,33.52521,宏站,120,43,6,6,12
sanxia,259792-2,E宝东常册-HLHF-3,259792,E宝东常册-HLHF,38400,372,0,124,14355,华为,111.80101,33.52521,宏站,270,43,6,3,9
sanxia,259793-0,E宝东峪-HLHF-1,259793,E宝东峪-HLHF,38400,136,1,45,18835,华为,111.61001,33.43211,宏站,0,5,6,3,9
sanxia,259793-1,E宝东峪-HLHF-2,259793,E宝东峪-HLHF,38400,137,2,45,18835,华为,111.61001,33.43211,宏站,120,5,6,3,9
sanxia,259794-0,E宝董社工业园-HLHF-1,259794,E宝董社工业园-HLHF,38400,456,0,152,14435,华为,111.362222,33.525833,宏站,0,33,6,3,9
sanxia,259794-1,E宝董社工业园-HLHF-2,259794,E宝董社工业园-HLHF,38400,458,2,152,14435,华为,111.362222,33.525833,宏站,120,33,6,3,9
sanxia,259794-2,E宝董社工业园-HLHF-3,259794,E宝董社工业园-HLHF,38400,457,1,152,14435,华为,111.362222,33.525833,宏站,240,33,6,3,9
sanxia,259795-0,E宝董寨-HLHF-1,259795,E宝董寨-HLHF,38400,95,2,31,18832,华为,111.638324,33.311882,宏站,0,43,6,3,9
sanxia,259795-1,E宝董寨-HLHF-2,259795,E宝董寨-HLHF,38400,93,0,31,18832,华为,111.638324,33.311882,宏站,120,43,6,3,9
sanxia,259795-2,E宝董寨-HLHF-3,259795,E宝董寨-HLHF,38400,94,1,31,18832,华为,111.638324,33.311882,宏站,240,43,6,3,9
sanxia,259796-0,E宝杜家村-HLHF-1,259796,E宝杜家村-HLHF,38400,326,2,108,14435,华为,111.45398,33.59156,宏站,0,43,6,3,9
sanxia,259796-1,E宝杜家村-HLHF-2,259796,E宝杜家村-HLHF,38400,325,1,108,14435,华为,111.45398,33.59156,宏站,120,43,6,3,9
sanxia,259796-2,E宝杜家村-HLHF-3,259796,E宝杜家村-HLHF,38400,324,0,108,14435,华为,111.45398,33.59156,宏站,240,43,6,3,9
sanxia,259797-0,E宝樊岔-HLHF-1,259797,E宝樊岔-HLHF,38400,339,0,113,18832,华为,111.60898,33.360647,宏站,0,12,6,3,9
sanxia,259797-1,E宝樊岔-HLHF-2,259797,E宝樊岔-HLHF,38400,341,2,113,18832,华为,111.60898,33.360647,宏站,120,12,6,3,9
sanxia,259797-2,E宝樊岔-HLHF-3,259797,E宝樊岔-HLHF,38400,340,1,113,18832,华为,111.60898,33.360647,宏站,240,12,6,3,9
sanxia,259798-0,E宝高柏-HLHF-1,259798,E宝高柏-HLHF,38400,350,2,116,14435,华为,111.60101,33.57361,宏站,0,43,6,3,9
sanxia,259798-1,E宝高柏-HLHF-2,259798,E宝高柏-HLHF,38400,348,0,116,14435,华为,111.60101,33.57361,宏站,120,43,6,3,9
sanxia,259798-2,E宝高柏-HLHF-3,259798,E宝高柏-HLHF,38400,346,1,115,14435,华为,111.60101,33.57361,宏站,240,43,6,3,9
sanxia,259799-0,E宝固县金矿-HLHF-1,259799,E宝固县金矿-HLHF,38400,314,2,104,18835,华为,111.548053,33.401331,宏站,0,5,3,1,4
sanxia,259799-1,E宝固县金矿-HLHF-2,259799,E宝固县金矿-HLHF,38400,313,1,104,18835,华为,111.548053,33.401331,宏站,120,5,3,1,4
sanxia,259799-2,E宝固县金矿-HLHF-3,259799,E宝固县金矿-HLHF,38400,315,0,105,18835,华为,111.548053,33.401331,宏站,240,5,3,3,6
sanxia,259800-0,E宝故县五里村-HLHF-1,259800,E宝故县五里村-HLHF,38400,161,2,53,18835,华为,111.53701,33.47171,宏站,0,19,3,1,4
sanxia,259800-1,E宝故县五里村-HLHF-2,259800,E宝故县五里村-HLHF,38400,160,1,53,18835,华为,111.53701,33.47171,宏站,130,19,3,1,4
sanxia,259800-2,E宝故县五里村-HLHF-3,259800,E宝故县五里村-HLHF,38400,159,0,53,18835,华为,111.53701,33.47171,宏站,250,19,3,1,4
sanxia,259801-0,E宝函谷风景区-HLHF-1,259801,E宝函谷风景区-HLHF,38400,39,0,13,14499,华为,111.92101,33.63771,宏站,0,8,3,3,6
sanxia,259801-1,E宝函谷风景区-HLHF-2,259801,E宝函谷风景区-HLHF,38400,40,1,13,14499,华为,111.92101,33.63771,宏站,120,8,3,3,6
sanxia,259801-2,E宝函谷风景区-HLHF-3,259801,E宝函谷风景区-HLHF,38400,41,2,13,14499,华为,111.92101,33.63771,宏站,240,8,3,3,6
sanxia,259802-0,E宝函谷关广场-HLHF-1,259802,E宝函谷关广场-HLHF,38400,447,0,149,14499,华为,111.91757,33.63283,宏站,0,38,3,6,9
sanxia,259802-1,E宝函谷关广场-HLHF-2,259802,E宝函谷关广场-HLHF,38400,448,1,149,14499,华为,111.91757,33.63283,宏站,120,38,3,6,9
sanxia,259802-2,E宝函谷关广场-HLHF-3,259802,E宝函谷关广场-HLHF,38400,449,2,149,14499,华为,111.91757,33.63283,宏站,240,38,3,6,9
sanxia,259803-0,E宝汉山风景区-HLHF-1,259803,E宝汉山风景区-HLHF,38400,155,2,51,18835,华为,111.52501,33.46731,宏站,30,8,3,6,9
sanxia,259803-1,E宝汉山风景区-HLHF-2,259803,E宝汉山风景区-HLHF,38400,154,1,51,18835,华为,111.52501,33.46731,宏站,200,8,3,1,4
sanxia,259803-2,E宝汉山风景区-HLHF-3,259803,E宝汉山风景区-HLHF,38400,153,0,51,18835,华为,111.52501,33.46731,宏站,290,8,3,1,4
sanxia,259804-0,E宝河西村-HLHF-1,259804,E宝河西村-HLHF,38400,167,2,55,14355,华为,111.55301,33.50681,宏站,0,20,6,3,9
sanxia,259804-1,E宝河西村-HLHF-2,259804,E宝河西村-HLHF,38400,165,0,55,14355,华为,111.55301,33.50681,宏站,120,20,6,3,9
sanxia,259804-2,E宝河西村-HLHF-3,259804,E宝河西村-HLHF,38400,166,1,55,14355,华为,111.55301,33.50681,宏站,240,20,6,3,9
sanxia,259805-0,峡E宝湖东-HLHF-1,259805,E宝湖东-HLHF,38400,80,2,26,18835,华为,111.65808,33.48159,宏站,80,33,6,5,11
sanxia,259805-1,峡E宝湖东-HLHF-2,259805,E宝湖东-HLHF,38400,78,0,26,18835,华为,111.65808,33.48159,宏站,210,33,6,5,11
sanxia,259805-2,峡E宝湖东-HLHF-3,259805,E宝湖东-HLHF,38400,79,1,26,18835,华为,111.65808,33.48159,宏站,340,33,6,5,11
