CITY,SCELL,NCELL,PrC2I9,C2I_Mean,std,SampleCount,WeightedC2I
sanxia,124684-2,15334-129,48,9.21,5.47,24172,1160256
sanxia,124684-2,124688-2,44,9.98,6.26,47772,2101968
sanxia,124684-2,259775-0,38,10.27,4.3,52,1976
sanxia,124684-2,259658-1,38,10.87,5.97,92,3496
sanxia,124684-2,253890-0,37,10.52,4.66,80,2960
sanxia,124684-2,253936-2,34,10.36,3.36,66,2244
sanxia,124684-2,253900-2,32,10.1,2.32,136,4352
sanxia,124684-2,15486-129,29,11.73,4.97,52,1508
sanxia,124684-2,15485-130,25,12.61,5.28,5250,131250
sanxia,124684-2,259598-2,22,13.21,5.52,746,16412
sanxia,124684-2,253911-0,11,15.5,5.26,1716,18876
